sepal_length,sepal_width,petal_length,petal_width,species,id
7.3,3.3,2.0,1.5,Iris-versicolor,1
7.7,3.3,4.4,0.6,Iris-versicolor,57
6.7,2.8,4.7,0.7,Iris-versicolor,72
6.3,3.1,6.8,1.0,Iris-setosa,1
7.9,3.9,4.1,0.5,Iris-versicolor,1
5.6,3.5,6.9,0.6,Iris-setosa,39
7.8,2.5,5.6,1.2,Iris-versicolor,34
5.1,3.6,5.0,2.0,Iris-versicolor,1
7.2,3.3,5.4,1.5,Iris-versicolor,9
6.0,4.4,5.2,2.4,Iris-virginica,62
6.2,2.6,6.0,2.3,Iris-virginica,15
4.4,2.8,6.9,0.6,Iris-virginica,32
5.9,3.2,6.9,2.2,Iris-versicolor,100
6.6,2.6,2.5,0.8,Iris-setosa,81
6.7,3.8,1.0,1.3,Iris-versicolor,37
7.9,3.4,6.7,2.5,Iris-versicolor,1
7.9,4.1,6.0,1.9,Iris-versicolor,17
6.2,2.6,6.2,1.3,Iris-setosa,113
6.6,2.6,5.2,1.4,Iris-versicolor,22
6.9,4.4,2.7,0.9,Iris-versicolor,79
7.9,3.2,5.0,0.8,Iris-versicolor,57
6.4,3.6,6.8,0.4,Iris-setosa,25
6.5,4.3,1.4,0.3,Iris-versicolor,33
7.9,2.9,5.5,0.8,Iris-virginica,50
6.4,3.2,4.7,1.7,Iris-virginica,68
7.9,4.4,6.2,0.1,Iris-setosa,24
5.6,3.4,5.7,1.9,Iris-virginica,77
7.9,3.3,6.9,0.2,Iris-setosa,111
7.9,4.4,4.9,1.4,Iris-versicolor,70
7.6,4.4,5.6,0.8,Iris-setosa,69
7.5,4.4,6.6,0.8,Iris-virginica,47
5.4,3.4,6.5,1.7,Iris-setosa,121
5.8,3.1,1.7,2.5,Iris-versicolor,12
7.9,3.5,5.5,1.6,Iris-virginica,1
7.9,3.4,6.9,0.1,Iris-versicolor,46
7.9,2.4,4.7,1.7,Iris-setosa,87
6.0,2.6,5.9,1.4,Iris-setosa,43
7.9,3.9,2.6,2.5,Iris-virginica,86
7.9,3.9,6.4,0.4,Iris-setosa,22
5.9,4.0,3.5,0.8,Iris-virginica,31
6.4,3.7,6.9,1.2,Iris-versicolor,87
7.9,3.7,6.1,1.4,Iris-versicolor,1
5.9,3.1,6.9,1.0,Iris-setosa,81
7.5,2.9,4.7,2.0,Iris-versicolor,97
6.8,3.8,6.9,0.6,Iris-versicolor,49
5.7,3.9,5.8,0.7,Iris-versicolor,21
6.3,3.2,1.8,2.5,Iris-virginica,12
6.5,3.0,3.5,1.9,Iris-versicolor,5
7.7,4.0,1.0,2.5,Iris-setosa,53
7.9,2.7,4.8,0.2,Iris-virginica,1
6.7,4.4,5.6,0.9,Iris-versicolor,47
6.6,3.7,5.7,0.1,Iris-setosa,3
6.0,4.1,6.2,1.1,Iris-virginica,143
7.9,3.9,3.2,1.8,Iris-virginica,72
6.3,3.9,3.6,1.7,Iris-setosa,39
7.9,2.8,5.8,0.9,Iris-virginica,30
7.9,2.4,5.7,0.3,Iris-versicolor,72
6.8,4.4,2.7,0.4,Iris-virginica,1
7.9,3.3,1.0,1.2,Iris-versicolor,110
7.1,2.5,2.0,1.9,Iris-versicolor,58
7.9,2.8,6.9,2.0,Iris-versicolor,1
6.9,3.7,2.0,1.0,Iris-virginica,1
7.9,3.4,6.9,0.2,Iris-versicolor,124
7.8,3.7,5.3,0.9,Iris-setosa,49
7.5,2.4,2.4,1.4,Iris-setosa,41
7.9,3.5,5.4,1.6,Iris-virginica,26
6.9,3.6,4.5,1.5,Iris-virginica,15
6.5,2.9,4.6,1.0,Iris-setosa,1
7.9,3.3,5.0,2.5,Iris-versicolor,8
7.9,3.4,1.8,0.7,Iris-virginica,1
5.5,4.2,5.9,1.7,Iris-versicolor,60
5.7,3.0,6.1,1.3,Iris-versicolor,66
5.9,4.4,4.3,0.9,Iris-versicolor,88
6.2,4.4,5.9,2.3,Iris-versicolor,1
6.6,2.7,1.8,0.3,Iris-versicolor,97
5.2,3.7,6.9,2.1,Iris-virginica,91
7.9,4.3,4.7,1.8,Iris-virginica,1
5.8,2.7,6.5,1.8,Iris-versicolor,29
6.1,2.9,6.9,0.7,Iris-virginica,49
6.9,3.6,6.9,0.3,Iris-virginica,39
7.9,3.0,6.9,1.3,Iris-setosa,15
6.4,2.1,4.0,1.2,Iris-setosa,59
7.9,3.9,5.3,1.5,Iris-versicolor,62
5.9,3.5,3.5,0.6,Iris-versicolor,112
5.4,3.3,5.8,0.3,Iris-versicolor,28
6.6,3.3,2.0,1.3,Iris-versicolor,73
7.9,2.9,5.9,1.3,Iris-setosa,1
7.9,2.9,4.3,1.8,Iris-virginica,47
5.4,4.4,5.8,1.0,Iris-versicolor,73
7.5,3.5,5.5,0.4,Iris-versicolor,16
7.8,4.4,1.9,1.2,Iris-virginica,70
6.2,4.4,2.6,0.9,Iris-versicolor,1
5.1,3.3,5.6,0.1,Iris-setosa,46
7.0,3.3,6.9,2.2,Iris-virginica,6
7.9,4.4,6.7,1.3,Iris-setosa,1
7.9,3.9,6.9,0.8,Iris-setosa,24
6.5,3.3,2.1,0.3,Iris-versicolor,9
6.6,3.9,5.0,1.2,Iris-setosa,1
7.9,3.2,6.6,0.7,Iris-versicolor,12
7.7,3.4,5.5,1.0,Iris-virginica,7
